year,health_board,age,sex,incident_cases,crude_rate,easr
2009,NHS Fife,75plus years,Female,346,2021.9728845254792,2022.1424409743397
2009,NHS Forth Valley,0-44 years,Male,13,15.583792855430351,15.265105241421713
2009,NHS Forth Valley,0-44 years,Female,16,18.93289472127229,18.398788723612522
2009,NHS Forth Valley,45-64 years,Male,101,262.9318199567855,263.25651829951494
2009,NHS Forth Valley,45-64 years,Female,65,162.80933774170924,163.7494280778913
2009,NHS Forth Valley,65-74 years,Male,85,696.4358869315854,697.7072391685157
2009,NHS Forth Valley,65-74 years,Female,79,562.8384155029923,568.05057870848
2009,NHS Forth Valley,75plus years,Male,141,1793.6649281261925,1907.3837234754872
2009,NHS Forth Valley,75plus years,Female,254,2007.587733164717,2020.1371067821203
2009,NHS Grampian,0-44 years,Male,28,17.31483943578359,17.302221736007336
2009,NHS Grampian,0-44 years,Female,17,10.874780105549336,10.699811777123328
2009,NHS Grampian,45-64 years,Male,124,165.62040870842793,166.576182844068
2009,NHS Grampian,45-64 years,Female,84,113.22738485179343,114.71037929804773
2009,NHS Grampian,65-74 years,Male,135,607.5881002745398,613.4982727784832
2009,NHS Grampian,65-74 years,Female,103,419.3469587167169,420.6519866376825
2009,NHS Grampian,75plus years,Male,241,1570.33948002867,1789.8933071239987
2009,NHS Grampian,75plus years,Female,436,1781.8464179165474,1784.4540129389907
2009,NHS Greater Glasgow & Clyde,0-44 years,Male,88,27.07650651528438,28.279099570280607
2009,NHS Greater Glasgow & Clyde,0-44 years,Female,72,21.673821034443314,21.347218311515988
2009,NHS Greater Glasgow & Clyde,45-64 years,Male,346,250.61567434448787,256.87285070388765
2009,NHS Greater Glasgow & Clyde,45-64 years,Female,279,190.88669950738918,195.14314889729326
2009,NHS Greater Glasgow & Clyde,65-74 years,Male,344,822.0618458156096,825.7244361812772
2009,NHS Greater Glasgow & Clyde,65-74 years,Female,275,528.4193535990162,525.8689040388199
2009,NHS Greater Glasgow & Clyde,75plus years,Male,536,1849.3599696373735,2029.579942636099
2009,NHS Greater Glasgow & Clyde,75plus years,Female,965,1836.486126441594,1855.4370012097997
2009,NHS Highland,0-44 years,Male,12,14.402822953298847,14.310533938238226
2009,NHS Highland,0-44 years,Female,20,24.611749649282565,22.09691932674261
2009,NHS Highland,45-64 years,Male,87,187.77924068118537,185.40701669048661
2009,NHS Highland,45-64 years,Female,53,112.4835519334437,111.66016983974251
2009,NHS Highland,65-74 years,Male,105,680.5807622504537,688.0329210624059
2009,NHS Highland,65-74 years,Female,78,456.1136775627157,462.65224908055336
2009,NHS Highland,75plus years,Male,180,1745.2006980802792,1953.4825791554817
2009,NHS Highland,75plus years,Female,319,1991.3852300393282,1984.3411828168512
2009,NHS Lanarkshire,0-44 years,Male,45,24.259021660610898,24.387760298253923
2009,NHS Lanarkshire,0-44 years,Female,46,24.467694664446842,23.445323824448817
2009,NHS Lanarkshire,45-64 years,Male,199,239.02181224176033,244.18475661896923
2009,NHS Lanarkshire,45-64 years,Female,134,150.81598199212155,152.54968856888016
2009,NHS Lanarkshire,65-74 years,Male,202,793.900330136771,807.2915623293749
2009,NHS Lanarkshire,65-74 years,Female,145,469.43796943796946,470.8611660323753
2009,NHS Lanarkshire,75plus years,Male,265,1680.9387884554394,1881.127884690631
2009,NHS Lanarkshire,75plus years,Female,480,1783.9887014048911,1866.1995907766138
2009,NHS Lothian,0-44 years,Male,42,17.327161563405035,17.574232910693745
2009,NHS Lothian,0-44 years,Female,46,18.82237407422562,18.317087369615297
2009,NHS Lothian,45-64 years,Male,226,227.8846056890484,233.86699709060525
2009,NHS Lothian,45-64 years,Female,142,137.5262704231354,140.31785647675758
2009,NHS Lothian,65-74 years,Male,176,603.9186082421164,607.6614307435153
2009,NHS Lothian,65-74 years,Female,134,390.6363874879748,390.76537706037436
2009,NHS Lothian,75plus years,Male,360,1712.57314114457,1893.6067926228352
2009,NHS Lothian,75plus years,Female,652,1850.5378480401894,1837.2366551358914
2009,NHS Orkney,0-44 years,Male,-1,-1,15.250544662309366
2009,NHS Orkney,0-44 years,Female,-1,-1,15.377180264487501
2009,NHS Orkney,45-64 years,Male,-1,-1,62.534876464487844
2009,NHS Orkney,45-64 years,Female,-1,-1,165.84381644775976
2009,NHS Orkney,65-74 years,Male,-1,-1,793.6507936507936
2009,NHS Orkney,65-74 years,Female,-1,-1,453.6494084011619
2009,NHS Orkney,75plus years,Male,-1,-1,1825.668380288377
2009,NHS Orkney,75plus years,Female,-1,-1,1463.2328911222612
2009,NHS Shetland,0-44 years,Male,-1,-1,58.84663176802829
2009,NHS Shetland,0-44 years,Female,0,0,0
2009,NHS Shetland,45-64 years,Male,-1,-1,242.5849226923721
2009,NHS Shetland,45-64 years,Female,-1,-1,34.83309143686502
2009,NHS Shetland,65-74 years,Male,-1,-1,617.283950617284
2009,NHS Shetland,65-74 years,Female,-1,-1,308.6945882039195
2009,NHS Shetland,75plus years,Male,-1,-1,1900.8083969095726
2009,NHS Shetland,75plus years,Female,-1,-1,2149.174385073111
2009,NHS Tayside,0-44 years,Male,16,14.769821562093252,15.876895580664067
2009,NHS Tayside,0-44 years,Female,16,14.593480362647986,14.456422984991738
2009,NHS Tayside,45-64 years,Male,145,272.46420384080574,271.8677775627296
2009,NHS Tayside,45-64 years,Female,99,177.26051924798568,178.19669306532705
2009,NHS Tayside,65-74 years,Male,121,659.3646122827093,661.5287737796677
2009,NHS Tayside,65-74 years,Female,104,493.52251696483654,492.57449951179854
2009,NHS Tayside,75plus years,Male,252,1852.6687251874725,2041.560422554429
2009,NHS Tayside,75plus years,Female,434,1986.360931850428,1984.0472850376248
2009,NHS Western Isles,0-44 years,Male,-1,-1,17.70152505446623
2009,NHS Western Isles,0-44 years,Female,-1,-1,29.130253849354972
2009,NHS Western Isles,45-64 years,Male,-1,-1,325.18821280129396
2009,NHS Western Isles,45-64 years,Female,-1,-1,84.66376390904692
2009,NHS Western Isles,65-74 years,Male,-1,-1,507.67662344522535
2009,NHS Western Isles,65-74 years,Female,-1,-1,505.44949162460694
2009,NHS Western Isles,75plus years,Male,-1,-1,1494.6271584517094
2009,NHS Western Isles,75plus years,Female,-1,-1,1991.8599208341668
2010,Scotland,0-44 years,Male,301,20.47173404428968,20.668384545791113
2010,Scotland,0-44 years,Female,251,16.97099514940561,16.696070814116553
2010,Scotland,45-64 years,Male,1528,221.2027465042583,223.20423160173112
2010,Scotland,45-64 years,Female,1083,150.15389734631063,151.2135206929559
2010,Scotland,65-74 years,Male,1456,662.5771338078163,669.3200177571366
2010,Scotland,65-74 years,Female,1260,496.22709872556277,497.1332875570876
2010,Scotland,75plus years,Male,2655,1756.7308264905746,1933.606097122842
2010,Scotland,75plus years,Female,4310,1753.7434895833333,1758.4432077942722
2010,NHS Ayrshire & Arran,0-44 years,Male,23,23.69887997032488,24.270159639626872
2010,NHS Ayrshire & Arran,0-44 years,Female,20,20.0228260216647,19.373585946427085
2010,NHS Ayrshire & Arran,45-64 years,Male,109,212.94885320204742,209.4976230091097
2010,NHS Ayrshire & Arran,45-64 years,Female,73,132.97630107291837,131.48797459726828
2010,NHS Ayrshire & Arran,65-74 years,Male,130,720.4610951008646,732.0524438784901
2010,NHS Ayrshire & Arran,65-74 years,Female,97,474.8384570197768,479.12033146905435
2010,NHS Ayrshire & Arran,75plus years,Male,184,1551.3025883146447,1729.0531209995443
2010,NHS Ayrshire & Arran,75plus years,Female,316,1656.4449336897835,1664.7602010335345
